Date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,TCS.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,NAUKRI.BO
2018-01-01,34059.98828125,520.0,922.0,936.5,562.4000244140625,487.9168395996094,312.0,331.0,606.0,1344.9000244140625,7880.0,850.0,63.0,764.0,20169.05078125,187.5937957763672,314.0,656.4000244140625,323.25,145.0,1396.6500244140625
2018-01-02,33913.55078125,518.5999755859375,915.0,928.5499877929688,563.3499755859375,487.54962158203125,310.20001220703125,323.1000061035156,616.9000244140625,1321.4749755859375,7870.2998046875,855.0,60.5,786.4000244140625,19954.94921875,187.6875457763672,312.5,650.0,318.0,145.10000610351562,1380.0
2018-01-03,33929.609375,517.5,924.4500122070312,937.0,560.0499877929688,479.1958312988281,310.0,329.75,610.0,1317.0,7887.0,861.0,59.5,783.7999877929688,19813.94921875,186.16879272460938,311.70001220703125,645.0999755859375,327.0,141.10000610351562,1320.6500244140625
2018-01-04,33912.48828125,511.0,919.0,929.0,564.9500122070312,477.3598327636719,315.0,334.20001220703125,607.0999755859375,1330.0,7886.85009765625,855.0,60.5,775.0,19749.94921875,185.6250457763672,316.5,643.2999877929688,327.95001220703125,143.5,1368.0
2018-01-05,34021.26953125,507.6499938964844,920.5,929.5,562.0,481.0318298339844,313.25,339.20001220703125,618.4500122070312,1325.5,7860.0,892.5,66.25,767.0,19700.0,187.5000457763672,316.79998779296875,648.4000244140625,322.95001220703125,147.35000610351562,1370.0
2018-01-08,34216.328125,507.5,924.0999755859375,932.5,563.1500244140625,491.12982177734375,313.0,340.0,615.0,1347.5,7860.0,912.0,64.5,765.0,19840.0,187.5000457763672,338.0,664.0,328.0,145.0,1405.0
2018-01-09,34431.609375,520.0,929.0499877929688,936.0,565.0,475.5238342285156,315.0,341.8999938964844,616.0,1355.0,7946.7001953125,925.0999755859375,63.70000076293945,769.4500122070312,19960.0,185.2500457763672,333.1000061035156,640.0,326.0,147.39999389648438,1384.4000244140625
2018-01-10,34538.78125,524.9500122070312,945.0,932.5,566.9000244140625,471.8518371582031,312.5,337.6000061035156,614.4000244140625,1356.0,7780.0,935.0,63.0,771.5,19842.94921875,189.15003967285156,341.1000061035156,648.0,325.0,144.0,1378.0
2018-01-11,34471.48046875,526.5,941.75,930.0,561.9500122070312,465.47174072265625,312.0,334.5,616.7999877929688,1403.5999755859375,7849.64990234375,918.0,61.79999923706055,768.0,19770.150390625,186.07504272460938,340.0,634.1500244140625,320.04998779296875,142.0,1402.9000244140625
2018-01-12,34578.98828125,544.5,942.0,933.2750244140625,560.0,476.39593505859375,309.45001220703125,336.54998779296875,613.0,1406.5,7870.10009765625,907.0,61.95000076293945,750.0,19940.400390625,185.6250457763672,343.1499938964844,630.0,315.0,140.0,1398.8499755859375
2018-01-15,34687.2109375,539.25,950.2000122070312,932.5,555.75,468.1798400878906,319.29998779296875,341.1000061035156,613.0,1395.0,7800.0,908.7999877929688,61.900001525878906,760.0,19807.19921875,188.2500457763672,343.95001220703125,634.0999755859375,312.75,137.0,1405.550048828125
2018-01-16,34877.7109375,540.0,949.0,948.625,561.5499877929688,467.7208251953125,329.5,339.0,610.2999877929688,1374.0999755859375,7758.10009765625,925.0,63.0,741.0999755859375,19890.0,183.7500457763672,334.0,630.4000244140625,313.79998779296875,139.0,1359.0
2018-01-17,34753.80078125,559.0,925.0,950.0,561.0,451.7476501464844,330.0,328.6000061035156,608.0,1428.550048828125,7779.2998046875,903.0,59.5,720.0,19891.099609375,182.96253967285156,336.0,617.0,313.1000061035156,137.0,1404.0
2018-01-18,35366.44921875,574.5,930.0,960.0,599.7000122070312,461.75384521484375,350.0,334.1000061035156,608.0,1447.5,7801.0,885.25,62.650001525878906,737.0,20000.0,177.97503662109375,350.0,632.0,315.0,143.5,1382.0
2018-01-19,35339.109375,574.4500122070312,922.0,967.5,586.7000122070312,447.29534912109375,346.6000061035156,326.79998779296875,604.9500122070312,1460.0,7757.5,899.9000244140625,60.099998474121094,719.0,19850.0,174.3750457763672,348.0,598.5,309.0,136.5,1387.1500244140625
2018-01-22,35613.96875,570.8499755859375,948.5,980.0,591.0,452.5738525390625,353.0,331.5,604.2999877929688,1478.0,7692.2001953125,898.0,60.849998474121094,708.0,19999.0,175.893798828125,349.0,617.0,314.0,140.0,1405.0
2018-01-23,35868.19140625,575.5999755859375,975.0,980.0,616.0999755859375,455.2360534667969,352.25,328.5,598.2999877929688,1557.5,7661.0,919.9000244140625,61.0,719.75,19956.30078125,172.29379272460938,358.0,624.9000244140625,316.0,140.0,1418.0999755859375
2018-01-24,36161.62109375,588.9000244140625,981.9000244140625,982.2000122070312,622.0,450.73785400390625,359.1000061035156,343.95001220703125,622.5999755859375,1550.0,7620.0,903.9000244140625,62.0,700.0,19795.0,176.8125457763672,359.0,627.0,312.8999938964844,144.89999389648438,1402.5
2018-01-25,36208.390625,592.2000122070312,970.0,980.0,610.0,423.6568603515625,353.8500061035156,339.79998779296875,619.7999877929688,1590.0,7550.0,888.0,70.80000305175781,703.2999877929688,19668.30078125,182.1938018798828,365.0,612.4500122070312,312.5,151.6999969482422,1397.449951171875
2018-01-29,36106.359375,582.5,966.0,987.5,617.0,412.824462890625,360.0,349.0,625.0,1559.0250244140625,7525.0,881.0,66.0,704.8499755859375,19650.0,184.8750457763672,360.0,619.0499877929688,307.54998779296875,143.89999389648438,1391.5
2018-01-30,36277.12109375,590.25,964.0,1000.0,608.0,403.1395568847656,355.5,346.1000061035156,612.0,1559.5,7505.85009765625,900.4000244140625,62.5,725.0,19802.0,179.268798828125,355.54998779296875,614.5499877929688,306.0,136.25,1385.199951171875
2018-01-31,35951.640625,580.0,950.0,995.0,590.0499877929688,404.8837585449219,349.3999938964844,341.0,606.5499877929688,1565.5,7436.64990234375,884.0,60.5,713.0,19540.0,178.8750457763672,354.0,608.0,316.0,135.0500030517578,1362.0
2018-02-01,36048.98828125,575.0,964.4000244140625,1003.5,592.0,399.3298645019531,349.70001220703125,339.5,588.25,1560.0,7500.0,870.0,60.400001525878906,697.0,19549.94921875,180.73129272460938,355.0,606.0,309.6000061035156,137.10000610351562,1346.050048828125
2018-02-02,35707.6015625,570.0,938.7000122070312,992.5,581.0999755859375,399.5134582519531,340.0,338.79998779296875,582.7999877929688,1557.5,7297.85009765625,815.0,61.5,674.0499877929688,19420.0,181.83753967285156,355.0,601.2000122070312,310.3999938964844,130.39999389648438,1351.0999755859375
2018-02-05,34718.8515625,569.0,895.7999877929688,965.0,558.0,383.723876953125,329.8999938964844,326.79998779296875,579.9500122070312,1555.5,7209.9501953125,814.4500122070312,58.70000076293945,638.0499877929688,19300.0,173.8125457763672,340.0,570.0,302.0,121.80000305175781,1339.0
2018-02-06,33753.78125,554.5,880.0,936.8499755859375,544.0499877929688,385.74346923828125,318.8500061035156,313.79998779296875,570.0,1515.0,7014.2998046875,775.0,57.95000076293945,648.0,19650.0,168.7500457763672,330.0,589.0,290.0,121.5,1295.0
2018-02-07,34563.30078125,556.0499877929688,900.5499877929688,952.5,589.2999877929688,411.26385498046875,335.0,325.1499938964844,582.75,1507.5,7099.0,790.0,58.099998474121094,652.2999877929688,19650.0,172.5000457763672,346.0,588.0999755859375,302.6000061035156,126.0999984741211,1209.0
2018-02-08,34208.109375,560.1500244140625,896.3499755859375,940.0,560.5499877929688,396.57586669921875,332.25,312.0,580.0,1485.5,7045.4501953125,785.5,57.79999923706055,645.0,19499.0,174.3750457763672,333.8999938964844,614.9000244140625,300.6499938964844,124.1500015258789,1183.0
2018-02-09,34002.44921875,562.4500122070312,891.9500122070312,927.5,559.9000244140625,390.1498718261719,324.0,305.3500061035156,597.0,1480.0,7025.0,791.0,59.45000076293945,660.0,19401.0,170.6250457763672,331.79998779296875,600.0,298.54998779296875,122.30000305175781,1220.0
