w1,w2,w3,return,risk
-0.4948742166703433,0.7607833425228253,0.7340908741475116,0.21278287795965814,0.19788950021200385
0.780528873608212,0.25389237074545556,-0.03442124435366501,0.12366817485686224,0.038838735800564926
-0.2947758210280108,0.6812570570752304,0.6135187639527713,0.19880164390516164,0.16897909506468184
-0.09980158404487939,0.6037672962229663,0.496034287821916,0.1851784440133923,0.14107264619716572
-1.0495643915303405,0.9812371299671814,1.0683272615631498,0.2515400760748757,0.2787570392682102
0.6270603217647317,0.3148862823755575,0.05805339585971457,0.13439129803054137,0.04773595814789892
-0.6242592228155246,0.8122055885548786,0.8120536342606288,0.22182324056851954,0.21667808575738834
0.505617761541342,0.3631519152848531,0.13123032317380826,0.1428767076871756,0.06014468396761163
-1.002934547731495,0.9627047561496861,1.0402297915817895,0.24828196519405837,0.271933451836641
-1.4392566575636232,1.1361148254419489,1.303141832121666,0.278768574150278,0.3358904287644665
