,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
24,2018-02-05,34718.851563,569.0,895.799988,965.0,558.0,383.723877,329.899994,326.799988,579.950012,3205.0,7209.950195,814.450012,58.700001,638.049988,19300.0,173.812546,340.0,570.0,302.0,121.800003,246.850006
25,2018-02-06,33753.78125,554.5,880.0,936.849976,544.049988,385.743469,318.850006,313.799988,570.0,3101.0,7014.299805,775.0,57.950001,648.0,19650.0,168.750046,330.0,589.0,290.0,121.5,239.0
26,2018-02-07,34563.300781,556.049988,900.549988,952.5,589.299988,411.263855,335.0,325.149994,582.75,3188.0,7099.0,790.0,58.099998,652.299988,19650.0,172.500046,346.0,588.099976,302.600006,126.099998,249.0
27,2018-02-08,34208.109375,560.150024,896.349976,940.0,560.549988,396.575867,332.25,312.0,580.0,3180.0,7045.450195,785.5,57.799999,645.0,19499.0,174.375046,333.899994,614.900024,300.649994,124.150002,250.0
28,2018-02-09,34002.449219,562.450012,891.950012,927.5,559.900024,390.149872,324.0,305.350006,597.0,3140.0,7025.0,791.0,59.450001,660.0,19401.0,170.625046,331.799988,600.0,298.549988,122.300003,247.100006
29,2018-02-12,34203.339844,556.0,901.099976,930.0,565.75,397.493866,333.899994,317.149994,627.0,3124.75,7020.0,802.5,62.25,664.0,19546.699219,174.675049,325.25,596.099976,303.549988,126.199997,250.0
30,2018-02-14,34436.980469,552.0,921.650024,940.625,563.200012,389.369568,327.350006,319.450012,625.0,3187.0,7186.549805,818.900024,67.099998,655.0,19623.550781,176.30629,336.0,592.900024,312.0,126.949997,249.0
31,2018-02-15,34207.570313,550.049988,936.049988,940.650024,534.549988,402.083862,321.100006,319.0,606.049988,3158.0,7480.0,814.5,64.0,647.25,19559.5,175.55629,321.200012,600.0,317.0,120.5,245.0
32,2018-02-16,34411.238281,560.5,937.349976,942.0,544.200012,396.575867,331.0,329.149994,612.799988,3169.0,7658.0,810.0,64.050003,656.0,20099.0,179.812546,325.0,585.599976,307.950012,119.449997,247.699997
33,2018-02-19,34053.949219,562.599976,920.299988,940.625,537.75,384.320557,325.0,320.100006,610.0,3081.0,7610.049805,808.0,62.0,653.0,19555.050781,175.818787,312.149994,597.5,308.0,113.0,252.0
34,2018-02-20,33913.941406,566.0,928.0,943.5,542.0,381.704254,320.950012,322.600006,600.0,3035.600098,7564.899902,804.5,63.900002,652.349976,19525.900391,173.737549,312.700012,575.0,306.399994,105.449997,245.75
35,2018-02-21,33813.828125,573.0,927.0,932.5,533.700012,383.769775,315.0,330.450012,605.0,3055.0,7602.25,836.099976,66.599998,653.200012,19430.800781,175.481293,309.600006,556.099976,308.049988,113.5,242.899994
