"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","04-Mar-2022","       2574.25","       2565.00","       2565.00","       2430.00","       2440.20","       2441.00","       2496.24","    2652474","          6621203752.65","     125811","    1115927","         42.07"
"TITAN","EQ","07-Mar-2022","       2441.00","       2414.80","       2419.95","       2330.00","       2390.00","       2389.70","       2378.38","    1545686","          3676225559.65","     135662","     625636","         40.48"
"TITAN","EQ","08-Mar-2022","       2389.70","       2400.00","       2419.50","       2325.60","       2393.00","       2371.25","       2372.80","    1467595","          3482313308.85","     124369","     596606","         40.65"
"TITAN","EQ","09-Mar-2022","       2371.25","       2393.00","       2460.50","       2375.00","       2435.00","       2433.65","       2418.17","    1581979","          3825495001.25","      84678","     541487","         34.23"
"TITAN","EQ","10-Mar-2022","       2433.65","       2498.00","       2504.75","       2444.85","       2463.00","       2467.80","       2473.18","    1051744","          2601157222.70","      78407","     347679","         33.06"
"TITAN","EQ","11-Mar-2022","       2467.80","       2478.00","       2498.20","       2448.85","       2493.00","       2493.60","       2477.31","     812330","          2012392460.85","      47673","     231264","         28.47"
"TITAN","EQ","14-Mar-2022","       2493.60","       2490.00","       2545.00","       2475.00","       2544.75","       2539.00","       2511.13","    1004492","          2522406872.20","      58326","     386770","         38.50"
"TITAN","EQ","15-Mar-2022","       2539.00","       2559.00","       2579.00","       2543.20","       2550.80","       2556.95","       2557.78","    1571483","          4019512091.25","      75290","     769864","         48.99"
"TITAN","EQ","16-Mar-2022","       2556.95","       2577.80","       2593.50","       2566.00","       2587.20","       2587.30","       2582.49","     757197","          1955453112.80","      48077","     300485","         39.68"
"TITAN","EQ","17-Mar-2022","       2587.30","       2600.10","       2721.65","       2600.10","       2706.00","       2703.00","       2690.83","    3336088","          8976859657.80","     152009","    1093768","         32.79"
"TITAN","EQ","21-Mar-2022","       2703.00","       2740.00","       2768.00","       2700.00","       2709.00","       2707.25","       2733.75","    1889261","          5164768325.50","     100228","     477011","         25.25"
"TITAN","EQ","22-Mar-2022","       2707.25","       2716.25","       2718.80","       2646.45","       2713.05","       2712.75","       2686.88","    1279904","          3438950759.15","      84057","     414874","         32.41"
"TITAN","EQ","23-Mar-2022","       2712.75","       2730.00","       2742.95","       2677.85","       2687.00","       2690.00","       2705.70","    1281815","          3468205394.05","      63838","     501508","         39.12"
"TITAN","EQ","24-Mar-2022","       2690.00","       2694.00","       2694.00","       2612.55","       2620.00","       2618.50","       2636.34","    1835380","          4838693184.70","     105502","     787185","         42.89"
"TITAN","EQ","25-Mar-2022","       2618.50","       2631.00","       2634.00","       2518.00","       2530.00","       2523.90","       2542.60","    2863040","          7279574267.10","     164418","    1239727","         43.30"
"TITAN","EQ","28-Mar-2022","       2523.90","       2536.50","       2545.55","       2483.00","       2540.00","       2535.90","       2513.34","    1316800","          3309561583.50","     100692","     458665","         34.83"
"TITAN","EQ","29-Mar-2022","       2535.90","       2550.00","       2559.00","       2525.30","       2541.00","       2538.80","       2541.94","     908172","          2308519343.00","      53687","     337657","         37.18"
"TITAN","EQ","30-Mar-2022","       2538.80","       2556.30","       2565.75","       2510.00","       2520.80","       2523.15","       2536.83","     866666","          2198580838.30","      65448","     360487","         41.59"
