,Days to Maturity,Implied Volatility,Historical Volatility
0,6,0.09858425564437523,0.3488332793952811
1,28,0.27211074016110864,0.26316994811032385
2,35,0.31602848854689725,0.31278551597467724
3,23,0.655965001373639,0.462610792830559
4,23,0.2694487213450568,0.4199514501783537
5,28,0.6815556000221009,0.4179205197422626
6,85,0.2850963503674453,0.29382190367447214
7,49,0.3124345779526718,0.318725246142567
8,38,0.23023160550489905,0.18336135649943028
9,87,0.25379168875440494,0.29368512593307666
10,34,0.15588563101995784,0.3076943505385636
11,38,0.13830064835279013,0.18336135649943028
12,51,0.07034150763790988,0.2944744573368785
13,86,0.2582109548749821,0.2438835719213132
14,7,0.18872182391252965,0.24558266872701304
15,65,0.12510738742737942,0.3474491453067343
16,52,0.10820759821274778,0.3016085730153554
17,31,0.23945100804080907,0.33529043708361544
18,57,0.26341449656623733,0.32777636799156046
19,22,0.15793740822983326,0.18392037059844057
20,31,0.05471575674482793,0.3417223022895368
21,50,0.18213163027825688,0.2264780721399953
22,41,0.49169838598492793,0.36006877118710334
23,78,0.13234007112024807,0.28538670677914346
24,13,0.27005966497385886,0.3339905908492785
25,6,0.7303157253246021,0.08113904347002514
26,66,0.2704115619846833,0.30080332337372806
27,50,0.2736487234892403,0.3295636132831544
28,50,0.3009300296548642,0.32194471086314663
29,38,0.5266355195874737,0.35155917009412846
30,30,0.20761987582456187,0.34355673444304313
31,17,0.03851407948906491,0.2468256012396601
32,37,0.1802411015062747,0.3294942645838158
33,36,0.2853542285619371,0.2620516692382032
34,78,0.09929614893990989,0.305164689837594
35,22,0.09740104731355452,0.303286858147461
36,28,0.22763056663930506,0.26316994811032385
37,1,0.5758233266219043,0.0
38,70,0.21262949640014947,0.22489934616721893
39,59,0.19919245886392567,0.26008857843834504
40,30,0.14565424697502022,0.268283685848789
41,42,0.25861237929387604,0.29444277252855305
42,42,0.4638927525325244,0.361628642156645
43,21,0.6445405527944577,0.43762094425391346
44,44,0.4761239469249163,0.3468102834732629
45,20,0.28695516199549914,0.41333865726293845
46,50,0.15829653085023476,0.29165472455816704
47,30,0.24167928199260805,0.268283685848789
48,30,0.22836821733218002,0.3941727808198318
49,7,0.6339177033550433,0.4126245126830392
50,21,0.18364156343120344,0.33942821779159055
51,38,0.06335440542259976,0.27169370768095924
52,22,0.2921936765734364,0.29338326215301486
53,10,0.26212028394460474,0.09905230210367875
54,72,0.1777551773967133,0.2909078643276852
55,14,0.30169228932710357,0.2719144437151934
56,49,0.15958363411220697,0.318725246142567
57,34,0.8581313080397702,0.3859591938800248
58,31,0.39157352432411174,0.28361868425146824
59,56,0.2160546545740515,0.2884023913156516
60,21,0.28853315215448316,0.2972462811584009
61,87,0.196069360918552,0.2346676469020366
62,43,0.42036769857577433,0.3553754066213516
63,10,0.05268477661370643,0.2321351298616119
64,17,0.12710124992587474,0.22083487050398984
65,57,0.2863576761481941,0.2725037033153321
