,Days to Maturity,Implied Volatility,Historical Volatility
0,87,0.4058779634780488,0.3211351214149761
1,49,0.40721848335769184,0.3067644151671448
2,57,0.6426198749979453,0.317084912349319
3,44,0.5766576314166897,0.2541404332884503
4,68,0.34766130733043404,0.20730792128467912
5,21,0.35880576530801994,0.1922301730695714
6,50,0.2759700472258669,0.33387073720362864
7,38,0.7782594968596244,0.2192959742194445
8,31,0.3623550729544667,0.14548583119487027
9,70,0.46423408480826595,0.3042008305869159
10,38,0.712210858470624,0.3385904912953953
11,13,0.4521708113872849,0.11031564687781435
12,37,0.47419628431978894,0.259674709708826
13,64,0.7189288901932626,0.3444388894795108
14,51,0.6943704872412899,0.2983283630548169
15,92,0.37777260130433493,0.21941444557379905
16,83,0.2737369793839174,0.3298784111112986
17,52,0.5322471805058319,0.3591328687597771
18,21,0.3001968811911771,0.12157668721042364
19,38,0.7268819766373011,0.3385904912953953
20,30,0.3771624485923517,0.26188267463673487
21,71,0.6391158082378783,0.33534543518929766
22,59,0.8255454692847786,0.3253147808404397
23,34,0.29419781970981695,0.31162303035638333
24,13,0.4644284126786281,0.3050833551691867
25,22,0.2631429988380238,0.3032287325161591
26,65,0.12295363746106903,0.2187791426229554
27,56,0.6514426286154544,0.37277117403093735
28,87,0.41125178488183267,0.35142091275765286
29,79,0.39869263031673924,0.21756392103871106
30,30,0.4155986950882032,0.2753076876829666
31,16,0.9600204278349687,0.1562783354253159
32,31,0.20682963762573045,0.29736705904938504
33,77,0.4139707153536132,0.22860286589503281
34,79,0.4772635219360382,0.24091294137294575
35,48,0.5670117099242657,0.260565920186733
36,58,0.31949355322061307,0.34786577002342695
37,29,0.906507953533026,0.32827643841970894
38,69,0.7067716720783268,0.29887060582965985
39,50,0.228953345305962,0.30462323689411086
40,70,0.42313610201994445,0.3256212466961825
41,9,0.5644216603289597,0.2994076486282713
42,8,0.3515227173999374,0.2538996120181471
43,86,0.3718062397094748,0.3088401489104644
44,13,0.40821551213815543,0.1355038564606863
45,64,0.30096157300109355,0.38219944018897783
46,49,0.42118658752328847,0.3769245758141001
47,73,0.3119088528950546,0.1957755036793323
48,41,0.5745839178179403,0.3115110035161197
49,3,0.6373815284960774,0.0
50,38,0.22678300178275732,0.24675507958642032
51,86,0.4639790621700908,0.2829465252299034
52,10,0.5284787692818711,0.14342453619863182
53,84,0.3599019490551479,0.24599376953092725
54,21,0.3829909385803507,0.29112215335922803
55,14,0.30444163650802303,0.22493930626439684
56,70,0.4627511507937172,0.20358021569692847
57,41,0.43595697762900865,0.23153338558319375
58,65,0.8670153254743944,0.3374205177917956
59,2,0.422527113496879,0.0
60,31,0.28341135950955265,0.18374456027776614
61,57,0.5048925225761556,0.3361153093273745
62,20,0.9695504677771988,0.27763016472346214
63,66,0.6234184115227566,0.3574634334647867
64,86,0.538188626667582,0.2219870743082257
65,65,0.12347227446389022,0.2948983065817165
66,15,0.26842157645796494,0.17964874529498692
67,65,0.35180028153491816,0.21555179621808018
68,44,0.17027471453153709,0.2814723089378875
69,83,0.38159228114889376,0.2980375859032838
70,29,0.3103705542964944,0.2079731241105673
71,79,0.4411174001781041,0.24091294137294575
72,63,0.7771666604763839,0.29740124080522007
73,49,0.36458996151008854,0.25784958270523617
74,80,0.38559814325292785,0.29889394279514353
75,77,0.5159637386294096,0.29059877152676983
76,38,0.28095506470072995,0.2643947713193067
77,44,0.47439404945025365,0.2644338390628377
78,80,0.4315178760428435,0.28158349351662276
79,85,0.4129591610250157,0.3002608380537448
80,77,0.39786430428592257,0.3103583686733482
81,77,0.3145030169593237,0.3049224801907442
82,8,0.6926979321855455,0.10779452909593389
83,1,0.41930391771654424,0.0
84,86,0.5275155412310546,0.2775093805862928
85,85,0.40545508400553487,0.24243630773275132
86,59,0.7061517188725077,0.298102820170483
87,41,0.2803699561044484,0.2779331661540779
88,69,0.6782172841858993,0.3261709503253362
89,90,0.3929028038974089,0.3482682571752915
90,50,0.21780486517777678,0.33469484571270147
91,34,0.3246272818628498,0.2570015472751652
92,56,0.4691993536670315,0.21205064419412137
93,49,0.4946439375006151,0.3116710020300683
94,55,0.30656177590555445,0.3345595015592456
95,72,0.6097588036844123,0.3188885357225157
96,13,0.32812569789294643,0.16776238090685888
97,23,0.3730125089285733,0.22789044212314555
98,31,0.3849183649774523,0.3111322776846602
99,3,0.27961215475565177,0.0
100,70,0.3309916046615718,0.22990603281681
101,70,0.24414850469273733,0.30991015236892283
102,56,0.8689524012953735,0.32100646765326835
103,45,0.2598223791628539,0.3456801923526055
104,80,0.39641602341540655,0.32798034784040736
105,42,0.3150302727643935,0.3079080609414277
106,57,0.49389016133350566,0.25449982207862293
107,41,0.35507835884865513,0.2568873488505839
108,24,0.3781558349144088,0.35381911738775756
109,57,0.3283182267080812,0.37161042649227677
110,3,0.4312295236673902,0.0
111,55,0.6350344827902723,0.35451524686561836
112,48,0.6218555799084589,0.2692725934650459
113,49,0.28965153993909776,0.3026252302012397
114,28,0.36833793630272077,0.2547853406501487
115,44,0.43164989689666433,0.27770596186895297
116,37,0.4401321384111381,0.3484752735937623
117,83,0.35448139403491147,0.2449347641219437
118,80,0.479674158644629,0.28756982948831306
119,84,0.4369920712956369,0.2126648983678589
120,1,0.45335970431529354,0.0
121,65,0.4036083433203082,0.30153415243247345
122,83,0.4294329526747931,0.2888961494567973
123,41,0.3142567031623685,0.3473978798017925
124,77,0.38166080498338123,0.3207514048505888
125,30,0.4084731140295341,0.26188267463673487
126,17,0.8122067872774619,0.27468119027446913
127,65,0.37759288874906427,0.31598600197799515
128,23,0.793287511623181,0.30335119640292635
129,48,0.25190890459880944,0.35101215848138545
130,87,0.41062712288720987,0.3211351214149761
131,70,0.6399787063312187,0.3364860889397142
132,36,0.4357725960915286,0.4099740938103819
133,75,0.4274117125523006,0.2213010069121132
134,80,0.32070266205183967,0.263056281506323
135,52,0.612864291347017,0.32474168643033535
136,58,0.36066374179960226,0.2731485159638862
137,35,0.6277747974304336,0.31326014679416875
138,42,0.3278560952594722,0.28971007658811226
139,69,0.6544772894338798,0.3261709503253362
140,41,0.45498763673574716,0.22217673729322804
141,86,0.5013369294953374,0.2829465252299034
142,78,0.46344264204649943,0.289192373381285
143,73,0.5775656160350684,0.2596894328911322
144,72,0.49793399948673267,0.224434378348794
145,20,0.32443736570794807,0.1985297580689159
146,77,0.696679898857847,0.2997546741407391
147,14,0.30444163650802303,0.22493930626439684
148,30,0.41827982922677526,0.38481818474150475
149,6,0.2597963014591132,0.2613648486503789
150,43,0.34489886419649507,0.3319925008897226
151,80,0.41845238319701733,0.30317200329493627
152,48,0.22469308222211018,0.2273048858287109
153,55,0.3079501196832302,0.31938549079155887
154,80,0.3358367967321587,0.29920624608642893
155,79,0.37667734743015296,0.21756392103871106
156,77,0.47427649614160383,0.18440966042769294
157,62,0.2790061720178553,0.3024042891402272
158,38,0.378615123982585,0.22202892850302852
159,30,0.4197687263809967,0.3489405345786995
160,44,0.4663288926509211,0.23028828000992635
161,24,0.5547611431147751,0.34985505069992456
162,43,0.30141257154039325,0.30686855798930546
163,36,0.2792493421859048,0.2373253156254987
164,17,0.21875013810763622,0.2676417180257391
165,29,0.2502663085791711,0.2923229752753385
166,28,0.32799831684791153,0.21988923661572687
167,76,0.3889886997638347,0.3066411216274432
168,78,0.4486075775133895,0.2589506995539178
169,27,0.5608598165444987,0.26440070944676325
170,84,0.4193530608556993,0.27867066790706463
171,28,0.3366676717853559,0.25803214264292734
172,30,0.7764768145502351,0.2139731667211459
173,16,0.42643870541282647,0.1990064281430246
174,28,0.31464265502238326,0.2890127243958735
175,6,0.41142295951397817,0.39361233527179146
176,85,0.5133378139561647,0.3074232960173547
177,31,0.44622210193498346,0.3848171327315049
178,51,0.3925579622868016,0.34078569269096415
179,55,0.3329753126703282,0.3394321393128712
180,87,0.35919918344099816,0.24307399458366438
181,43,0.25777602328692495,0.1992784727860708
182,80,0.8270819902045046,0.28756982948831306
183,71,0.5003695860888316,0.2598525763200157
184,85,0.6474023051155818,0.20702449287076816
185,28,0.5123939702814124,0.34075853530050615
186,45,0.4545425119014092,0.22591837473897228
187,80,0.41694593426437804,0.2904420284421052
188,69,0.8054429629538465,0.27533978308781015
189,22,0.33290344305746766,0.28470963088757983
190,69,0.8621648383140913,0.2883297729481314
191,69,0.6853573550028809,0.29887060582965985
192,42,0.454999577859293,0.3823895621913463
193,77,0.7422593439169716,0.292768119071491
194,90,0.4010732073218559,0.31274516454986756
195,50,0.3278653029429573,0.347279222153826
196,80,0.40040492836752856,0.32798034784040736
197,66,0.3752035857019599,0.3145588267781592
198,76,0.4005596347927269,0.3133743797999048
199,80,0.3893902144189141,0.21578677061931667
200,50,0.4807559470805049,0.3676969710012956
201,58,0.6154435561553164,0.3705630160767316
202,57,0.2681863945107357,0.3052271783776172
203,9,0.3307669942833923,0.09587765839754525
204,84,0.4470456685650749,0.27867066790706463
205,35,0.31969345599518517,0.3799371166101611
206,77,0.36270715748809873,0.2140297779504067
207,85,0.3653082898481937,0.24243630773275132
208,22,0.7306095560988661,0.23673426287903268
209,8,0.24620283542147436,0.2974659689479379
210,43,0.3190523491166332,0.2902220863477296
211,90,0.38865140242660046,0.31166823993308473
212,37,0.8766122004000833,0.2830777505244734
213,83,0.36218136653275007,0.3059231063866407
214,14,0.30430293673517655,0.24250824377608665
215,50,0.38744948234163445,0.30462323689411086
216,77,0.6165072856288981,0.20810098670752467
217,16,0.874277324336792,0.28036091804710833
218,83,0.3255354939721893,0.32403575917523064
219,82,0.4308750380501966,0.3103614415801296
220,85,0.40287871252095564,0.3074232960173547
221,15,0.318256290544396,0.10917950541181483
222,63,0.4898091636565316,0.31330939182124284
223,58,0.3452317159060456,0.32416417465412484
224,50,0.5791545845606539,0.30077490143520097
225,34,0.23230179979718205,0.32940543392520083
226,83,0.49156338598655513,0.18868853997243282
227,44,0.4856792087528079,0.34834363300182064
228,83,0.2926997367084003,0.3373147888279999
229,24,0.264402650540987,0.3103997614619054
230,85,0.4003703389590064,0.283534705862258
231,43,0.3382704247810088,0.30818361717797826
232,61,0.5475231362143533,0.2785683205866256
233,36,0.28207134627150304,0.38161360641937897
234,23,0.335621040647575,0.1396041418852085
235,59,0.29222577780499726,0.23667412151618855
236,71,0.3560266954995842,0.311018684874885
237,38,0.3133624672550831,0.23401925571555623
238,15,0.44248453924867026,0.3151417227271118
239,55,0.40888966259863335,0.24557885670756843
240,16,0.3134452913005449,0.3829134151291653
241,65,0.46706182884792935,0.3404680796525206
242,28,0.38315051139397766,0.26520886168349533
243,6,0.4271542867329084,0.13947600526283205
244,49,0.6309731666274028,0.3538165311804093
245,90,0.40721257532488003,0.3317158857965578
246,43,0.1560319228744761,0.2902220863477296
247,90,0.3266572394596741,0.27347250200423895
248,30,0.460873628597563,0.26188931275551897
249,27,0.30627209353864315,0.2291134141801175
250,37,0.32931311802510216,0.3484752735937623
251,90,0.3797437293008432,0.2994030634838129
252,78,0.24683139508606497,0.33748798573733096
253,71,0.6076734489929883,0.29029673076201895
254,42,0.5004301549457433,0.159318102240667
255,57,0.6130190368863104,0.317084912349319
256,42,0.29502614670285005,0.339470804145471
257,37,0.451381751105539,0.30851297245956605
258,79,0.36995062722946737,0.2815970524374462
259,48,0.4780203047348985,0.30854884486997053
260,41,0.5745839178179403,0.3115110035161197
261,42,0.2799544781753707,0.2895538410915669
262,54,0.4518887954765002,0.25099898029894235
263,9,0.23462316409412404,0.251885037544737
264,41,0.4456239397245858,0.23153338558319375
265,77,0.16429648914371667,0.24771826709929626
266,73,0.2981088026443262,0.2844556742564189
267,16,0.3651675933560406,0.3123650358183982
268,17,0.3134036477657795,0.27468119027446913
269,15,0.43048011692045945,0.19690345067282283
270,22,0.8460042393663407,0.29731007359845074
271,71,0.5247860763515146,0.2588582115093811
272,70,0.8056393824229902,0.3014583464944221
273,14,0.24085440816463924,0.34966112811078237
274,86,0.40710388405495934,0.30192531844543014
275,13,0.5291321319343334,0.24950136382400542
276,22,0.7411789585209108,0.3032287325161591
277,52,0.4773753465642632,0.30058837043460374
278,21,0.3171126147832563,0.33943015998172904
