,Days to Maturity,Implied Volatility,Historical Volatility
0,85,0.49928635257832016,0.3793472424849137
1,57,0.49988642231421676,0.2796869056845749
2,20,0.167763460013774,0.2415237211408978
3,24,0.4022401157265614,0.2822453344642077
4,63,0.4409708134036083,0.24348696919677829
5,57,0.5987470392273374,0.37955109574307133
6,55,0.47484950267813153,0.3713608866814254
7,51,0.7735236836156871,0.17876555516938414
8,50,0.3646359305804976,0.37897010701563816
9,71,0.3323114853799194,0.23871503692895585
10,17,0.33618920718642886,0.2070300462222276
11,51,0.2701620939807735,0.20100726571015157
12,56,0.4976714209907182,0.23761504272343534
13,28,0.3011956011606727,0.1835938381581031
14,83,0.34674975805071206,0.2179648956868909
15,49,0.5098279909149631,0.26713988744541883
16,90,0.5279357942533097,0.3275642142755216
17,69,0.483194691949854,0.22730794126367473
18,70,0.997308839734695,0.300329187159942
19,69,0.46098835840016317,0.24381076209780841
20,87,0.38205599425356257,0.3245948525974749
21,38,0.3034133555529686,0.4140735014654009
22,66,0.6100788759657289,0.22119281337686406
23,76,0.2740787156076984,0.20623433775430353
24,71,0.33026884600262374,0.23871503692895585
25,62,0.3333449160003378,0.2791800290058152
26,37,0.29656827369653205,0.25792934443679216
27,90,0.45482573402513304,0.26522911284135714
28,51,0.3110284518251948,0.20100726571015157
29,83,0.3533379311724053,0.2791175914902684
30,29,0.29115321044106635,0.2608629198203886
31,33,0.20997518277447152,0.19004823604365323
32,90,0.2698468341893828,0.27231913566964955
33,13,0.2515192320616842,0.20010997248151083
34,14,0.3187225636082563,0.22664750476775308
35,62,0.4380130255534609,0.2454513110098127
36,36,0.6393630572392163,0.23846817812770696
37,9,0.3818882708979611,0.08319200983061893
38,17,0.6995047259507452,0.432102224183585
39,48,0.6015782029831924,0.21690203467405356
40,72,0.4667868011862405,0.33409088858358615
41,23,0.4906224386784445,0.3028744111252312
42,48,0.5664778240925828,0.27356395783920867
43,9,0.240708850397265,0.11955960832495163
44,90,0.3774922547489096,0.2707794375297824
45,86,0.2919064943318356,0.2209083970525215
46,63,0.5613397530944918,0.25063322767623103
47,44,0.33382855816701473,0.2422440570518478
48,59,0.4991336636257341,0.2110843321041084
49,52,0.7558171492718266,0.18761829422756932
50,78,0.5461223493246251,0.2984630259308421
51,55,0.6329548668604779,0.22574881415095766
52,15,0.20604818945266942,0.22949446016362923
53,31,0.34764368524224915,0.4481527645838003
54,64,0.3509980060933293,0.22017425200026833
55,72,0.24857885996736023,0.1997020021449764
56,8,0.4758710667354545,0.3326250280479981
57,3,0.6914421396261144,0.0
58,78,0.4812103460967248,0.34045912661036
59,31,0.3009800629635367,0.20063771659908963
60,65,0.6336531942092755,0.22190408728038638
61,42,0.43199117262461717,0.19500104742148966
62,28,0.1519809077045819,0.2197854432125679
63,77,0.4512074630501293,0.22935210236078907
64,73,0.6832874674661094,0.3562764820957282
65,14,0.45023384654930304,0.15935042248927606
66,78,0.618121916821806,0.2644905463392716
67,57,0.5034639597939675,0.2796869056845749
68,42,0.41377821884809424,0.2440331551566328
69,65,0.5024843316795063,0.24239525250568297
70,17,0.2498687666617837,0.2113776272549161
71,76,0.5880997185150497,0.4016090900637342
72,38,0.5061131080472102,0.21847826199361925
73,86,0.36705761153803906,0.3087164480797767
74,2,0.1699556833432692,0.0
75,23,0.5589310226245654,0.37373856711619496
76,38,0.6142181977568603,0.21055699273273665
77,79,0.3126633127771499,0.27751124260830184
78,59,0.3192905379316924,0.3269544825480319
79,80,0.27792294130747885,0.2763432019833101
80,90,0.4809120500250728,0.22638040020818287
81,73,0.550774355995206,0.2367369836848568
82,86,0.2591422369757149,0.2209083970525215
83,51,0.687622354176407,0.27713325642598924
84,55,0.36121606592793204,0.24097432013577538
85,29,0.6234159026024039,0.2608629198203886
86,73,0.30665372191983786,0.2778561967796794
87,44,0.2371909034133429,0.19535064431810156
88,44,0.7864787358483344,0.2863304476339517
89,86,0.3951063682503578,0.24712298723651605
90,77,0.4512074630501293,0.22935210236078907
91,49,0.33074536999693055,0.30707549725850375
92,73,0.5029284479917163,0.3251528738953844
93,55,0.23441643311211702,0.2527503466513235
94,10,0.30794123690345654,0.09102035483926504
95,24,0.3751758698777284,0.262144695428351
96,72,0.24853415311147817,0.24953142166007333
97,70,0.6093935390108994,0.27703769264311656
98,23,0.309394635703852,0.19977729005894349
99,34,0.28501183425321913,0.31418525158739674
100,49,0.3162470966643394,0.21580751621877287
101,77,0.6410148492187623,0.34868389915718007
102,59,0.5031180181891425,0.3269544825480319
103,28,0.6501104030225137,0.25574109278133905
104,79,0.3835661845735941,0.27751124260830184
105,21,0.40633491787551135,0.2747388925973993
106,79,0.7755258235517027,0.3384938918129319
107,56,0.5468608807013907,0.23761504272343534
108,93,0.47510356363220346,0.32625386829184305
109,82,0.39124583486058273,0.21338836008549117
110,70,0.783065316288222,0.2720876225585854
111,15,0.23009753564207674,0.16713757884022618
112,21,0.3322830422919184,0.330862056657066
113,6,0.394276995268533,0.3707908592155143
114,63,0.3162246345734215,0.19917469822203282
115,57,0.42606483824428554,0.2220555286708167
116,28,0.24273835891820594,0.24066543612846528
117,55,0.2470178870832936,0.22617570682113308
118,58,0.36122560278871646,0.207788512366507
119,76,0.24544922178824466,0.2297719890469727
120,34,0.21734800609491212,0.18120341405401547
121,79,0.42410396481095186,0.2469578156564247
122,37,0.3145945020158658,0.4071882242919065
